round,variant,seconds
1,baseline,0.005191088
1,candidate,0.004504204
1,control,0.014492035
2,candidate,0.004425049
2,control,0.014549017
2,baseline,0.004503012
3,control,0.014554024
3,baseline,0.004503965
3,candidate,0.004449129
4,baseline,0.004414082
4,candidate,0.004386902
4,control,0.014192820
5,candidate,0.004354954
5,control,0.014170170
5,baseline,0.005470037
6,control,0.014738083
6,baseline,0.004510164
6,candidate,0.004487991
7,baseline,0.004857063
7,candidate,0.004568100
7,control,0.014513016
8,candidate,0.004482985
8,control,0.014513016
8,baseline,0.004458904
9,control,0.014462948
9,baseline,0.004442930
9,candidate,0.004421949
10,baseline,0.004459143
10,candidate,0.004410982
10,control,0.014551878
11,candidate,0.004453897
11,control,0.014394045
11,baseline,0.005739212
12,control,0.014634848
12,baseline,0.004626989
12,candidate,0.005464792
13,baseline,0.004861116
13,candidate,0.004580021
13,control,0.015024900
14,candidate,0.004585028
14,control,0.015012026
14,baseline,0.004632950
15,control,0.015017033
15,baseline,0.004613876
15,candidate,0.004587173
16,baseline,0.004586935
16,candidate,0.004446030
16,control,0.014506102
17,candidate,0.004411936
17,control,0.014500141
17,baseline,0.004486084
18,control,0.014512062
18,baseline,0.004446983
18,candidate,0.004415035
19,baseline,0.004460096
19,candidate,0.004417896
19,control,0.014508963
20,candidate,0.004405975
20,control,0.014510155
20,baseline,0.004446030
21,control,0.014580011
21,baseline,0.004701853
21,candidate,0.004556894
