round,variant,seconds
1,baseline,0.004540920
1,candidate,0.004456997
1,control,0.014386892
2,candidate,0.005007029
2,control,0.014621019
2,baseline,0.004447937
3,control,0.014563799
3,baseline,0.004508972
3,candidate,0.004472017
4,baseline,0.004472017
4,candidate,0.004473925
4,control,0.014463902
5,candidate,0.006220102
5,control,0.015040874
5,baseline,0.004681110
6,control,0.014953136
6,baseline,0.004493952
6,candidate,0.004467964
7,baseline,0.004472017
7,candidate,0.004435062
7,control,0.014542103
8,candidate,0.004467964
8,control,0.014591932
8,baseline,0.004515171
9,control,0.014554024
9,baseline,0.004481077
9,candidate,0.004779100
10,baseline,0.004574060
10,candidate,0.004447937
10,control,0.014873981
11,candidate,0.004478216
11,control,0.014622927
11,baseline,0.004565001
12,control,0.014271021
12,baseline,0.004383802
12,candidate,0.004311085
13,baseline,0.004508972
13,candidate,0.004433155
13,control,0.014050961
14,candidate,0.004297972
14,control,0.013979912
14,baseline,0.005650043
15,control,0.014766216
15,baseline,0.004472971
15,candidate,0.004444122
16,baseline,0.004493952
16,candidate,0.004478931
16,control,0.014614105
17,candidate,0.004477978
17,control,0.014630079
17,baseline,0.004542828
18,control,0.014601946
18,baseline,0.004554033
18,candidate,0.004456997
19,baseline,0.004522085
19,candidate,0.004451036
19,control,0.014585972
20,candidate,0.004420042
20,control,0.014451981
20,baseline,0.004408121
21,control,0.014201880
21,baseline,0.004509926
21,candidate,0.005416155
