round,variant,seconds
1,baseline,0.004420042
1,candidate,0.004366875
1,control,0.014070988
2,candidate,0.004534006
2,control,0.014034986
2,baseline,0.005738974
3,control,0.014512062
3,baseline,0.004455090
3,candidate,0.004448891
4,baseline,0.004499912
4,candidate,0.004449129
4,control,0.014585972
5,candidate,0.004538059
5,control,0.014631987
5,baseline,0.004503965
6,control,0.014495850
6,baseline,0.004470110
6,candidate,0.004456997
7,baseline,0.005667925
7,candidate,0.004430056
7,control,0.014492035
8,candidate,0.004419088
8,control,0.014624119
8,baseline,0.004519939
9,control,0.014556885
9,baseline,0.004479885
9,candidate,0.004482985
10,baseline,0.004508018
10,candidate,0.004450083
10,control,0.014580011
11,candidate,0.004420042
11,control,0.014394999
11,baseline,0.005136967
12,control,0.014557123
12,baseline,0.005136967
12,candidate,0.005444050
13,baseline,0.005424023
13,candidate,0.005519152
13,control,0.015733957
14,candidate,0.004740953
14,control,0.015244007
14,baseline,0.004613876
15,control,0.015073061
15,baseline,0.004673958
15,candidate,0.004606009
16,baseline,0.004609823
16,candidate,0.004573107
16,control,0.015079975
17,candidate,0.004595041
17,control,0.015027046
17,baseline,0.004653931
18,control,0.014982939
18,baseline,0.004591942
18,candidate,0.004593849
19,baseline,0.004590034
19,candidate,0.004579067
19,control,0.014925003
20,candidate,0.004555941
20,control,0.014900923
20,baseline,0.004479170
21,control,0.014505863
21,baseline,0.004444122
21,candidate,0.004429102
