round,variant,seconds
1,baseline,0.004522085
1,candidate,0.004455090
1,control,0.014620066
2,candidate,0.004420042
2,control,0.014333963
2,baseline,0.004395008
3,control,0.014050007
3,baseline,0.004872084
3,candidate,0.004472971
4,baseline,0.004523993
4,candidate,0.004446983
4,control,0.014731884
5,candidate,0.004859924
5,control,0.014503956
5,baseline,0.004478216
6,control,0.014570951
6,baseline,0.004508972
6,candidate,0.004677057
7,baseline,0.004421949
7,candidate,0.004806995
7,control,0.014493942
8,candidate,0.004519939
8,control,0.014505863
8,baseline,0.005460024
9,control,0.014898062
9,baseline,0.004467010
9,candidate,0.004413843
10,baseline,0.004458189
10,candidate,0.004410982
10,control,0.014563084
11,candidate,0.004457951
11,control,0.014538050
11,baseline,0.004531145
12,control,0.014549017
12,baseline,0.004492998
12,candidate,0.004467964
13,baseline,0.004623890
13,candidate,0.004464865
13,control,0.014557838
14,candidate,0.004429102
14,control,0.014561176
14,baseline,0.004508972
15,control,0.014281034
15,baseline,0.005798101
15,candidate,0.004573107
16,baseline,0.004619837
16,candidate,0.004550934
16,control,0.014780998
17,candidate,0.004466772
17,control,0.014565945
17,baseline,0.004506111
18,control,0.014519930
18,baseline,0.004459143
18,candidate,0.004434824
19,baseline,0.004456043
19,candidate,0.004438162
19,control,0.014565945
20,candidate,0.004442930
20,control,0.014575958
20,baseline,0.004500151
21,control,0.014538050
21,baseline,0.004502058
21,candidate,0.004366875
