round,variant,seconds
1,baseline,0.005256891
1,candidate,0.005086899
1,control,0.015018225
2,candidate,0.004600048
2,control,0.015013218
2,baseline,0.004642010
3,control,0.014931917
3,baseline,0.004534006
3,candidate,0.004457951
4,baseline,0.004484892
4,candidate,0.004437923
4,control,0.014622211
5,candidate,0.004460812
5,control,0.014581919
5,baseline,0.004498005
6,control,0.014521837
6,baseline,0.004494905
6,candidate,0.004491091
7,baseline,0.004841089
7,candidate,0.004446983
7,control,0.014553070
8,candidate,0.004420996
8,control,0.014531136
8,baseline,0.004517078
9,control,0.014489174
9,baseline,0.004607916
9,candidate,0.004785061
10,baseline,0.004666090
10,candidate,0.004458904
10,control,0.014488220
11,candidate,0.004731894
11,control,0.014184952
11,baseline,0.004694939
12,control,0.014655828
12,baseline,0.004503012
12,candidate,0.004355907
13,baseline,0.005002022
13,candidate,0.004452944
13,control,0.014555931
14,candidate,0.004430056
14,control,0.014562130
14,baseline,0.004507065
15,control,0.014297009
15,baseline,0.005355120
15,candidate,0.005294800
16,baseline,0.004944086
16,candidate,0.005117178
16,control,0.015075922
17,candidate,0.004585028
17,control,0.014981985
17,baseline,0.004637003
18,control,0.014986038
18,baseline,0.004633904
18,candidate,0.004596949
19,baseline,0.004631996
19,candidate,0.004587173
19,control,0.014679909
20,candidate,0.004548073
20,control,0.014770985
20,baseline,0.004498005
21,control,0.014544010
21,baseline,0.004498005
21,candidate,0.004448891
