round,variant,seconds
1,baseline,0.004506111
1,candidate,0.004496098
1,control,0.014616013
2,candidate,0.004456997
2,control,0.014543056
2,baseline,0.004507065
3,control,0.014537096
3,baseline,0.004510164
3,candidate,0.004432917
4,baseline,0.004472017
4,candidate,0.004420996
4,control,0.014274836
5,candidate,0.004664898
5,control,0.014663935
5,baseline,0.004514933
6,control,0.014621019
6,baseline,0.004525900
6,candidate,0.004456043
7,baseline,0.004462957
7,candidate,0.004438162
7,control,0.014375925
8,candidate,0.005568981
8,control,0.014940977
8,baseline,0.004527092
9,control,0.014506102
9,baseline,0.004464865
9,candidate,0.004412889
10,baseline,0.004456043
10,candidate,0.004405975
10,control,0.014590979
11,candidate,0.004467964
11,control,0.014585018
11,baseline,0.004506826
12,control,0.014553070
12,baseline,0.004521132
12,candidate,0.004488945
13,baseline,0.004494905
13,candidate,0.004431009
13,control,0.014400005
14,candidate,0.004359007
14,control,0.014129877
14,baseline,0.004348040
15,control,0.013993025
15,baseline,0.004348040
15,candidate,0.004336834
16,baseline,0.004976988
16,candidate,0.004897833
16,control,0.014545202
17,candidate,0.004446983
17,control,0.014597178
17,baseline,0.004484892
18,control,0.014496803
18,baseline,0.004503012
18,candidate,0.004493952
19,baseline,0.004452944
19,candidate,0.004412174
19,control,0.014473915
20,candidate,0.004403114
20,control,0.014430046
20,baseline,0.004427910
21,control,0.014281988
21,baseline,0.005342960
21,candidate,0.004499197
