round,variant,seconds
1,baseline,0.004458904
1,candidate,0.004448891
1,control,0.014569044
2,candidate,0.004459858
2,control,0.014583111
2,baseline,0.004430056
3,control,0.014227867
3,baseline,0.005309820
3,candidate,0.004479170
4,baseline,0.004498005
4,candidate,0.004444122
4,control,0.014598846
5,candidate,0.004457951
5,control,0.014490843
5,baseline,0.005057096
6,control,0.014737129
6,baseline,0.004459858
6,candidate,0.005701780
7,baseline,0.004585028
7,candidate,0.004638910
7,control,0.015002966
8,candidate,0.004605055
8,control,0.014994860
8,baseline,0.004670858
9,control,0.014791965
9,baseline,0.004516125
9,candidate,0.004448891
10,baseline,0.004490137
10,candidate,0.004467964
10,control,0.014610767
11,candidate,0.004447937
11,control,0.014593124
11,baseline,0.004516840
12,control,0.014539957
12,baseline,0.004492044
12,candidate,0.004464149
13,baseline,0.004499912
13,candidate,0.004430056
13,control,0.014571190
14,candidate,0.004483938
14,control,0.014454126
14,baseline,0.004498005
15,control,0.014187098
15,baseline,0.004355907
15,candidate,0.004834890
16,baseline,0.004894972
16,candidate,0.004422188
16,control,0.014528036
17,candidate,0.004465818
17,control,0.014616013
17,baseline,0.004508972
18,control,0.014532089
18,baseline,0.005339146
18,candidate,0.005048990
19,baseline,0.004976034
19,candidate,0.004590988
19,control,0.015028000
20,candidate,0.004572868
20,control,0.015038013
20,baseline,0.004642010
21,control,0.015038013
21,baseline,0.004648924
21,candidate,0.004612207
