round,variant,seconds
1,baseline,0.004638910
1,candidate,0.004866838
1,control,0.014564037
2,candidate,0.004457951
2,control,0.014585972
2,baseline,0.004504919
3,control,0.014482021
3,baseline,0.004394054
3,candidate,0.004368067
4,baseline,0.004513979
4,candidate,0.004359007
4,control,0.014185190
5,candidate,0.005131006
5,control,0.014615059
5,baseline,0.004535913
6,control,0.014521122
6,baseline,0.004371166
6,candidate,0.004572868
7,baseline,0.004486084
7,candidate,0.004437923
7,control,0.014342070
8,candidate,0.004316092
8,control,0.014008999
8,baseline,0.004309177
9,control,0.013937950
9,baseline,0.004294872
9,candidate,0.004251003
10,baseline,0.004387140
10,candidate,0.004272938
10,control,0.013943195
11,candidate,0.004786015
11,control,0.014127970
11,baseline,0.004928112
12,control,0.014387131
12,baseline,0.004869938
12,candidate,0.004657030
13,baseline,0.004714966
13,candidate,0.004441977
13,control,0.014542103
14,candidate,0.004418850
14,control,0.014518023
14,baseline,0.004480839
15,control,0.014491796
15,baseline,0.004467010
15,candidate,0.004421949
16,baseline,0.004440069
16,candidate,0.005075932
16,control,0.014655828
17,candidate,0.004444838
17,control,0.014655828
17,baseline,0.004494905
18,control,0.014539003
18,baseline,0.004463911
18,candidate,0.004359007
19,baseline,0.004437923
19,candidate,0.004348993
19,control,0.014106035
20,candidate,0.004469872
20,control,0.014111042
20,baseline,0.004948139
21,control,0.014647961
21,baseline,0.004498005
21,candidate,0.004478216
